"it","SSM","logl","sig2","K-prot","K-pat","nk1","nk2","nk3","nk4","nk5","nk1","nk2","nk3","nk4","nk5"
900,0.946312113377431,-49052.666600659,0.943173063883831,20,16,395,302,295,278,255,6,4,3,3,2
910,0.945280433057745,-48995.4505208714,0.948543718480169,20,16,387,304,297,283,264,6,4,3,3,2
920,0.946482636934952,-49063.4096813597,0.949214675782681,20,17,398,312,282,282,276,6,4,3,2,2
930,0.944876378514445,-48973.971780342,0.947839663345803,20,16,390,314,292,283,270,6,4,3,3,2
940,0.946138333224928,-49043.3235293377,0.952832953438992,20,17,405,318,309,278,252,6,4,3,2,2
950,0.947257933244007,-49103.940122604,0.949060872942075,20,15,417,313,298,285,244,6,4,3,3,3
960,0.946075897733948,-49040.133767931,0.947613048260272,20,17,406,325,304,280,250,6,4,3,2,2
970,0.946450301082749,-49060.0358310595,0.949053545300001,20,17,407,322,293,287,250,6,4,3,2,2
980,0.945936680416291,-49031.5062268918,0.942712665688587,20,16,400,319,283,279,255,6,4,3,3,2
990,0.945815833366382,-49026.6457214462,0.943925003289741,20,16,404,316,295,281,257,6,4,3,3,2
1000,0.946514264499904,-49063.1762226803,0.949224488732766,20,15,394,321,298,271,268,6,4,3,3,3
1010,0.94565492276399,-49016.1460231618,0.944655918668099,20,16,404,324,298,267,256,6,3,3,3,3
1020,0.946043824876441,-49041.9477972342,0.947294003865948,20,15,408,327,287,271,237,6,4,3,3,3
1030,0.946794148454125,-49079.592472056,0.946011651823888,20,15,400,326,287,286,241,6,4,3,3,3
1040,0.946761468372854,-49076.7815788722,0.945043350317382,20,17,406,334,277,274,248,4,4,3,3,2
1050,0.946361788633296,-49054.839082218,0.945332002233133,20,15,410,326,287,283,228,6,4,3,3,3
1060,0.946043193903641,-49037.6108004867,0.943063257707002,20,17,421,313,291,283,220,4,4,3,3,2
1070,0.946353896649277,-49056.8536642757,0.949098298331857,20,16,417,327,300,289,221,4,4,3,3,3
1080,0.945257689181229,-48994.2914059288,0.948508554761274,20,16,409,329,288,287,238,4,4,3,3,3
1090,0.947302692602477,-49106.8638071059,0.947549401389103,20,15,401,338,300,296,233,6,4,3,3,3
